Date,Description,Amount,Category
2024-01-01,Groceries,-120.50,Food
2024-01-05,Monthly Rent,-1300.00,Rent
2024-01-10,Freelance Project,500.00,Freelance
2024-01-15,Netflix Subscription,-160.00,Entertainment
2024-01-20,Birthday Gift,-100.00,Gift
2024-01-22,Refund for Overpayment,120.00,Refund
2024-02-01,Food & Snacks,-200.00,Food
2024-02-10,Monthly Rent,-1300.00,Rent
2024-02-15,Freelance Project,600.00,Freelance
2024-02-20,Movie Tickets,-80.00,Entertainment
2024-03-05,Gift for Friend,-130.00,Gift
2024-03-10,Refund for Product Return,90.00,Refund
2024-03-12,Healthcare & Doctor Visit,-250.00,Healthcare
2024-03-18,Transportation to Office,-100.00,Transportation
2024-04-05,Freelance Project,600.00,Freelance
2024-04-10,Entertainment at Concert,-120.00,Entertainment
2024-04-15,Gift for Family,-110.00,Gift
2024-04-18,Refund for Service,80.00,Refund
2024-04-25,Utilities,-150.00,Utilities
2024-05-01,Food & Groceries,-250.00,Food
2024-05-05,Monthly Rent,-1300.00,Rent
2024-05-10,Freelance Income,500.00,Freelance
2024-05-12,Gift for Parent,-120.00,Gift
2024-05-15,Movie Subscription,-110.00,Entertainment
2024-05-20,Refund for Mischarge,100.00,Refund
2024-06-01,Transportation to Office,-90.00,Transportation
2024-06-05,Freelance Income,550.00,Freelance
2024-06-10,Healthcare & Doctor Visit,-300.00,Healthcare
2024-06-12,Utilities (Water/Electricity),-170.00,Utilities
2024-06-18,Education & Course Fees,-400.00,Education
2024-06-25,Gift for Family,-130.00,Gift
2024-07-01,Food & Groceries,-230.00,Food
2024-07-05,Freelance Income,600.00,Freelance
2024-07-10,Transportation to Office,-120.00,Transportation
2024-07-15,Entertainment Subscription,-130.00,Entertainment
2024-07-20,Refund for Product Return,90.00,Refund
2024-07-25,Freelance Project,550.00,Freelance
2024-08-01,Gift for Friend,-110.00,Gift
2024-08-05,Healthcare & Doctor Visit,-350.00,Healthcare
2024-08-10,Utilities,-160.00,Utilities
2024-08-15,Education & Course Fees,-500.00,Education
2024-08-20,Entertainment at Movie,-100.00,Entertainment
2024-08-25,Refund for Service,85.00,Refund
2024-09-01,Salary Payment,2500.00,Salary
2024-09-05,Bonus for Performance,1500.00,Bonus
2024-09-10,Investments in Stock,2000.00,Investments
2024-09-15,Freelance Work Payment,700.00,Freelance
2024-09-20,Gift for Celebration,-120.00,Gift
2024-09-22,Refund for Purchase,110.00,Refund
2024-10-01,Food Delivery,-100.00,Food
2024-10-05,Monthly Rent,-1300.00,Rent
2024-10-10,Freelance Income,600.00,Freelance
2024-10-15,Entertainment at Movie,-130.00,Entertainment
2024-10-20,Birthday Gift,-130.00,Gift
2024-10-22,Refund for Shipping,90.00,Refund
2024-11-01,Food & Groceries,-240.00,Food
2024-11-05,Monthly Rent,-1300.00,Rent
2024-11-10,Freelance Income,550.00,Freelance
2024-11-12,Gift for Friend,-100.00,Gift
2024-11-15,Movie Subscription,-110.00,Entertainment
2024-11-20,Refund for Service,80.00,Refund
2024-12-01,Salary Payment,2500.00,Salary
2024-12-05,Bonus Payment,1600.00,Bonus
2024-12-10,Investments in Stocks,2500.00,Investments
2024-12-15,Freelance Work Payment,700.00,Freelance
2024-12-20,Healthcare Consultation,-200.00,Healthcare
2024-12-22,Gift for Parent,-130.00,Gift
2024-12-25,Refund for Product Return,90.00,Refund
