Date,Description,Amount,Category
2024-01-15,Groceries,200,Food
2024-01-20,Rent Payment,1200,Rent
2024-01-25,Movie Tickets,50,Entertainment
2024-01-28,Electric Bill,100,Utilities
2024-01-30,Gas,60,Transportation
2024-01-10,Doctor Visit,150,Healthcare
2024-01-15,Books,30,Education
2024-01-05,Subscription Service,20,Miscellaneous
2024-02-10,Groceries,220,Food
2024-02-15,Rent Payment,1200,Rent
2024-02-20,Concert,120,Entertainment
2024-02-22,Electric Bill,110,Utilities
2024-02-25,Taxi,50,Transportation
2024-02-10,Doctor Visit,170,Healthcare
2024-02-15,Books,35,Education
2024-02-05,Online Subscription,25,Miscellaneous
2024-03-05,Groceries,210,Food
2024-03-10,Rent Payment,1200,Rent
2024-03-15,Movie Tickets,60,Entertainment
2024-03-20,Electric Bill,120,Utilities
2024-03-25,Gas,65,Transportation
2024-03-15,Doctor Visit,160,Healthcare
2024-03-18,Books,40,Education
2024-03-12,Subscription Service,22,Miscellaneous
2024-04-10,Groceries,230,Food
2024-04-15,Rent Payment,1200,Rent
2024-04-20,Concert,130,Entertainment
2024-04-22,Electric Bill,125,Utilities
2024-04-25,Taxi,55,Transportation
2024-04-10,Doctor Visit,180,Healthcare
2024-04-15,Books,38,Education
2024-04-05,Online Subscription,28,Miscellaneous
2024-05-10,Groceries,250,Food
2024-05-15,Rent Payment,1200,Rent
2024-05-20,Movie Tickets,65,Entertainment
2024-05-22,Electric Bill,130,Utilities
2024-05-25,Gas,70,Transportation
2024-05-10,Doctor Visit,190,Healthcare
2024-05-15,Books,42,Education
2024-05-07,Subscription Service,25,Miscellaneous
2024-06-10,Groceries,240,Food
2024-06-15,Rent Payment,1200,Rent
2024-06-20,Concert,140,Entertainment
2024-06-22,Electric Bill,135,Utilities
2024-06-25,Taxi,60,Transportation
2024-06-10,Doctor Visit,200,Healthcare
2024-06-15,Books,45,Education
2024-06-02,Online Subscription,30,Miscellaneous
2024-07-05,Groceries,260,Food
2024-07-10,Rent Payment,1200,Rent
2024-07-15,Movie Tickets,70,Entertainment
2024-07-18,Electric Bill,140,Utilities
2024-07-20,Gas,75,Transportation
2024-07-10,Doctor Visit,210,Healthcare
2024-07-12,Books,50,Education
2024-07-03,Subscription Service,30,Miscellaneous
2024-08-15,Groceries,275,Food
2024-08-20,Rent Payment,1200,Rent
2024-08-25,Concert,150,Entertainment
2024-08-28,Electric Bill,145,Utilities
2024-08-30,Taxi,65,Transportation
2024-08-10,Doctor Visit,220,Healthcare
2024-08-15,Books,55,Education
2024-08-07,Online Subscription,35,Miscellaneous
2024-09-05,Groceries,290,Food
2024-09-10,Rent Payment,1200,Rent
2024-09-15,Movie Tickets,80,Entertainment
2024-09-18,Electric Bill,150,Utilities
2024-09-20,Gas,80,Transportation
2024-09-10,Doctor Visit,230,Healthcare
2024-09-12,Books,60,Education
2024-09-05,Subscription Service,40,Miscellaneous
2024-10-10,Groceries,300,Food
2024-10-15,Rent Payment,1200,Rent
2024-10-20,Concert,160,Entertainment
2024-10-22,Electric Bill,155,Utilities
2024-10-25,Taxi,70,Transportation
2024-10-10,Doctor Visit,240,Healthcare
2024-10-15,Books,65,Education
2024-10-03,Online Subscription,45,Miscellaneous
2024-11-05,Groceries,310,Food
2024-11-10,Rent Payment,1200,Rent
2024-11-15,Movie Tickets,90,Entertainment
2024-11-20,Electric Bill,160,Utilities
2024-11-22,Gas,85,Transportation
2024-11-10,Doctor Visit,250,Healthcare
2024-11-15,Books,70,Education
2024-11-07,Subscription Service,50,Miscellaneous
2024-12-05,Groceries,320,Food
2024-12-10,Rent Payment,1200,Rent
2024-12-15,Concert,170,Entertainment
2024-12-18,Electric Bill,165,Utilities
2024-12-20,Gas,90,Transportation
2024-12-10,Doctor Visit,260,Healthcare
2024-12-12,Books,75,Education
2024-12-03,Online Subscription,55,Miscellaneous
